timestamp,vl53l8cx.tick,vl53l8cx.s0
25548,2164286626,0
25648,2164286626,0
25748,2164286626,0
25848,2164286626,0
25948,2164286626,0
26048,2164286626,0
26148,2164286626,0
26248,2164286626,0
26348,2164286626,0
26448,2164286626,0
26548,2164286626,0
26648,2164286626,0
26748,2164286626,0
26848,2164286626,0
26948,2164286626,0
27048,2164286626,0
27148,2164286626,0
27248,2164286626,0
27348,2164286626,0
27448,2164286626,0
27548,2164286626,0
27648,2164286626,0
27748,2164286626,0
27848,2164286626,0
27948,2164286626,0
28048,2164286626,0
28148,2164286626,0
28248,2164286626,0
28348,2164286626,0
28448,2164286626,0
28548,2164286626,0
28648,2164286626,0
28748,2164286626,0
28848,2164286626,0
28948,2164286626,0
29048,2164286626,0
29148,2164286626,0
29248,2164286626,0
29348,2164286626,0
29448,2164286626,0
29548,2164286626,0
29648,2164286626,0
29748,2164286626,0
29848,2164286626,0
29948,2164286626,0
30048,2164286626,0
30148,2164286626,0
30248,2164286626,0
30348,2164286626,0
30448,2164286626,0
30548,2164286626,0
30648,2164286626,0
30748,2164286626,0
30848,2164286626,0
30948,2164286626,0
31048,2164286626,0
31148,2164286626,0
31248,2164286626,0
31348,2164286626,0
31448,2164286626,0
31548,2164286626,0
31648,2164286626,0
31748,2164286626,0
31848,2164286626,0
31948,2164286626,0
32048,2164286626,0
32148,2164286626,0
32248,2164286626,0
32348,2164286626,0
32448,2164286626,0
32548,2164286626,0
32648,2164286626,0
32748,2164286626,0
32848,2164286626,0
32948,2164286626,0
33048,2164286626,0
33148,2164286626,0
33248,2164286626,0
33348,2164286626,0
33448,2164286626,0
33548,2164286626,0
33648,2164286626,0
33748,2164286626,0
33848,2164286626,0
33948,2164286626,0
34048,2164286626,0
34148,2164286626,0
34248,2164286626,0
34348,2164286626,0
34448,2164286626,0
34548,2164286626,0
34648,2164286626,0
34748,2164286626,0
34848,2164286626,0
34948,2164286626,0
35048,2164286626,0
35148,2164286626,0
35248,2164286626,0
35348,2164286626,0
35448,2164286626,0
35548,2164286626,0
35648,2164286626,0
35748,2164286626,0
35848,2164286626,0
35948,2164286626,0
36048,2164286626,0
36148,2164286626,0
36248,2164286626,0
36348,2164286626,0
36448,2164286626,0
36548,2164286626,0
36648,2164286626,0
36748,2164286626,0
36848,2164286626,0
36948,2164286626,0
37048,2164286626,0
37148,2164286626,0
37248,2164286626,0
37348,2164286626,0
37448,2164286626,0
37548,2164286626,0
37648,2164286626,0
37748,2164286626,0
37848,2164286626,0
37948,2164286626,0
38048,2164286626,0
38148,2164286626,0
38248,2164286626,0
38348,2164286626,0
38448,2164286626,0
38548,2164286626,0
38648,2164286626,0
38748,2164286626,0
38848,2164286626,0
38948,2164286626,0
39048,2164286626,0
39148,2164286626,0
39248,2164286626,0
39348,2164286626,0
39448,2164286626,0
39548,2164286626,0
39648,2164286626,0
39748,2164286626,0
39848,2164286626,0
39948,2164286626,0
40048,2164286626,0
40148,2164286626,0
40248,2164286626,0
40348,2164286626,0
40448,2164286626,0
40548,2164286626,0
40648,2164286626,0
40748,2164286626,0
40848,2164286626,0
40948,2164286626,0
41048,2164286626,0
41148,2164286626,0
41248,2164286626,0
41348,2164286626,0
41448,2164286626,0
41548,2164286626,0
41648,2164286626,0
41748,2164286626,0
41848,2164286626,0
41948,2164286626,0
42048,2164286626,0
42148,2164286626,0
42248,2164286626,0
42348,2164286626,0
42448,2164286626,0
42548,2164286626,0
42648,2164286626,0
42748,2164286626,0
42848,2164286626,0
42948,2164286626,0
43048,2164286626,0
43148,2164286626,0
43248,2164286626,0
43348,2164286626,0
43448,2164286626,0
43548,2164286626,0
43648,2164286626,0
43748,2164286626,0
43848,2164286626,0
43948,2164286626,0
44048,2164286626,0
44148,2164286626,0
44248,2164286626,0
44348,2164286626,0
44448,2164286626,0
44548,2164286626,0
44648,2164286626,0
44748,2164286626,0
44848,2164286626,0
44948,2164286626,0
45048,2164286626,0
45148,2164286626,0
45248,2164286626,0
45348,2164286626,0
45448,2164286626,0
45548,2164286626,0
45648,2164286626,0
45748,2164286626,0
45848,2164286626,0
45948,2164286626,0
46048,2164286626,0
46148,2164286626,0
46248,2164286626,0
46348,2164286626,0
46448,2164286626,0
46548,2164286626,0
46648,2164286626,0
46748,2164286626,0
46848,2164286626,0
46948,2164286626,0
47048,2164286626,0
47148,2164286626,0
47248,2164286626,0
47348,2164286626,0
47448,2164286626,0
47548,2164286626,0
47648,2164286626,0
47748,2164286626,0
47848,2164286626,0
47948,2164286626,0
48048,2164286626,0
48148,2164286626,0
48248,2164286626,0
48348,2164286626,0
48448,2164286626,0
48548,2164286626,0
48648,2164286626,0
48748,2164286626,0
48848,2164286626,0
48948,2164286626,0
49048,2164286626,0
49148,2164286626,0
49248,2164286626,0
49348,2164286626,0
49448,2164286626,0
49548,2164286626,0
49648,2164286626,0
49748,2164286626,0
49848,2164286626,0
49948,2164286626,0
50048,2164286626,0
50148,2164286626,0
50248,2164286626,0
50348,2164286626,0
50448,2164286626,0
50548,2164286626,0
50648,2164286626,0
50748,2164286626,0
50848,2164286626,0
50948,2164286626,0
51048,2164286626,0
51148,2164286626,0
51248,2164286626,0
51348,2164286626,0
51448,2164286626,0
51548,2164286626,0
51648,2164286626,0
51748,2164286626,0
51848,2164286626,0
51948,2164286626,0
52048,2164286626,0
52148,2164286626,0
52248,2164286626,0
52348,2164286626,0
52448,2164286626,0
52548,2164286626,0
52648,2164286626,0
52748,2164286626,0
52848,2164286626,0
52948,2164286626,0
53048,2164286626,0
53148,2164286626,0
53248,2164286626,0
53348,2164286626,0
53448,2164286626,0
53548,2164286626,0
53648,2164286626,0
53748,2164286626,0
53848,2164286626,0
53948,2164286626,0
54048,2164286626,0
54148,2164286626,0
54248,2164286626,0
54348,2164286626,0
54448,2164286626,0
54548,2164286626,0
54648,2164286626,0
54748,2164286626,0
54848,2164286626,0
54948,2164286626,0
55048,2164286626,0
55148,2164286626,0
55248,2164286626,0
55348,2164286626,0
55448,2164286626,0
55548,2164286626,0
55648,2164286626,0
55748,2164286626,0
55848,2164286626,0
55948,2164286626,0
56048,2164286626,0
56148,2164286626,0
56248,2164286626,0
56348,2164286626,0
56448,2164286626,0
56548,2164286626,0
56648,2164286626,0
56748,2164286626,0
56848,2164286626,0
56948,2164286626,0
57048,2164286626,0
57148,2164286626,0
57248,2164286626,0
57348,2164286626,0
57448,2164286626,0
57548,2164286626,0
57648,2164286626,0
57748,2164286626,0
57848,2164286626,0
57948,2164286626,0
58048,2164286626,0
58148,2164286626,0
58248,2164286626,0
58348,2164286626,0
58448,2164286626,0
58548,2164286626,0
58648,2164286626,0
58748,2164286626,0
58848,2164286626,0
58948,2164286626,0
59048,2164286626,0
59148,2164286626,0
59248,2164286626,0
59348,2164286626,0
59448,2164286626,0
59548,2164286626,0
59648,2164286626,0
59748,2164286626,0
59848,2164286626,0
59948,2164286626,0
60048,2164286626,0
60148,2164286626,0
60248,2164286626,0
60348,2164286626,0
60448,2164286626,0
60548,2164286626,0
60648,2164286626,0
60748,2164286626,0
60848,2164286626,0
60948,2164286626,0
61048,2164286626,0
61148,2164286626,0
61248,2164286626,0
61348,2164286626,0
61448,2164286626,0
61548,2164286626,0
61648,2164286626,0
61748,2164286626,0
61848,2164286626,0
61948,2164286626,0
62048,2164286626,0
62148,2164286626,0
62248,2164286626,0
62348,2164286626,0
62448,2164286626,0
62548,2164286626,0
62648,2164286626,0
62748,2164286626,0
62848,2164286626,0
62948,2164286626,0
63048,2164286626,0
63148,2164286626,0
63248,2164286626,0
63348,2164286626,0
63448,2164286626,0
63548,2164286626,0
63648,2164286626,0
63748,2164286626,0
63848,2164286626,0
63948,2164286626,0
64048,2164286626,0
64148,2164286626,0
64248,2164286626,0
64348,2164286626,0
64448,2164286626,0
64548,2164286626,0
64648,2164286626,0
64748,2164286626,0
64848,2164286626,0
64948,2164286626,0
65048,2164286626,0
65148,2164286626,0
65248,2164286626,0
65348,2164286626,0
65448,2164286626,0
65548,2164286626,0
65648,2164286626,0
65748,2164286626,0
65848,2164286626,0
65948,2164286626,0
66048,2164286626,0
66148,2164286626,0
66248,2164286626,0
66348,2164286626,0
66448,2164286626,0
66548,2164286626,0
66648,2164286626,0
66748,2164286626,0
66848,2164286626,0
66948,2164286626,0
67048,2164286626,0
67148,2164286626,0
67248,2164286626,0
67348,2164286626,0
67448,2164286626,0
67548,2164286626,0
67648,2164286626,0
67748,2164286626,0
67848,2164286626,0
67948,2164286626,0
68048,2164286626,0
68148,2164286626,0
68248,2164286626,0
68348,2164286626,0
68448,2164286626,0
68548,2164286626,0
68648,2164286626,0
68748,2164286626,0
68848,2164286626,0
68948,2164286626,0
69048,2164286626,0
69148,2164286626,0
69248,2164286626,0
69348,2164286626,0
69448,2164286626,0
69548,2164286626,0
69648,2164286626,0
69748,2164286626,0
69848,2164286626,0
69948,2164286626,0
70048,2164286626,0
70148,2164286626,0
70248,2164286626,0
70348,2164286626,0
70448,2164286626,0
70548,2164286626,0
70648,2164286626,0
70748,2164286626,0
70848,2164286626,0
70948,2164286626,0
71048,2164286626,0
71148,2164286626,0
71248,2164286626,0
